Run,Assay Type,AssemblyName,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,collecting_institution,collection_date,collector_name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,ENA-FIRST-PUBLIC (run),ena_first_public,ENA-LAST-UPDATE (run),ena_last_update,Experiment,external_id,geo_loc_name_country,geo_loc_name_country_continent,geographic_location_(country_and/or_sea),geographic_location_(region_and_locality),host_health_state,host_scientific_name,host_sex,INSDC_center_alias,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,sample_capture_status,Sample Name,Sample_Name,SRA_accession,SRA Study,Submitter_Id,Title,host_subject_id
ERR5349014,AMPLICON,assembly,70,328102705,PRJEB43269,SAMEA8124906,52146171,UMR 1283/8199,"Synlab\, Haut-de-France",2021-02-13,not provided,public,"sra,bam","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",2021-04-22,2021-04-22,2021-02-23,2021-02-23,ERX5137390,SAMEA8124906,France,Europe,France,Haut-de-France,not provided,Homo sapiens,not provided,UMR 1283/8199,UMR 1283/8199,2021-04-22T00:26:51Z,2021-02-23T16:29:49Z,public,NextSeq 500,unspecified,SINGLE,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-04-23T00:00:00Z,active surveillance in response to outbreak,SAMEA8124906,cov-100001593019,ERS5811879,ERP127218,cov-100001593019,SARS-Cov2 Haut-de-France samples,
ERR5349015,AMPLICON,assembly,70,339200475,PRJEB43269,SAMEA8124907,52792581,UMR 1283/8199,"Synlab\, Haut-de-France",2021-02-13,not provided,public,"sra,bam","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.US",2021-04-22,2021-04-22,2021-02-23,2021-02-23,ERX5137391,SAMEA8124907,France,Europe,France,Haut-de-France,not provided,Homo sapiens,not provided,UMR 1283/8199,UMR 1283/8199,2021-04-22T00:26:51Z,2021-02-23T16:29:49Z,public,NextSeq 500,unspecified,SINGLE,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-04-23T00:00:00Z,active surveillance in response to outbreak,SAMEA8124907,cov-100001593479,ERS5811880,ERP127218,cov-100001593479,SARS-Cov2 Haut-de-France samples,
ERR5349016,AMPLICON,assembly,70,300965155,PRJEB43269,SAMEA8124908,59126842,UMR 1283/8199,"Synlab\, Haut-de-France",2021-02-13,not provided,public,"sra,bam","ncbi,gs,s3","s3.us-east-1,gs.US,ncbi.public",2021-04-22,2021-04-22,2021-02-23,2021-02-23,ERX5137392,SAMEA8124908,France,Europe,France,Haut-de-France,not provided,Homo sapiens,not provided,UMR 1283/8199,UMR 1283/8199,2021-04-22T00:26:51Z,2021-02-23T16:29:49Z,public,NextSeq 500,unspecified,SINGLE,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-04-23T00:00:00Z,active surveillance in response to outbreak,SAMEA8124908,cov-100001593547,ERS5811881,ERP127218,cov-100001593547,SARS-Cov2 Haut-de-France samples,
ERR5349017,AMPLICON,assembly,70,270120081,PRJEB43269,SAMEA8124909,67929441,UMR 1283/8199,"Synlab\, Haut-de-France",2021-02-13,not provided,public,"bam,sra","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.US",2021-04-22,2021-04-22,2021-02-23,2021-02-23,ERX5137393,SAMEA8124909,France,Europe,France,Haut-de-France,not provided,Homo sapiens,not provided,UMR 1283/8199,UMR 1283/8199,2021-04-22T00:26:51Z,2021-02-23T16:29:49Z,public,NextSeq 500,unspecified,SINGLE,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-04-23T00:00:00Z,active surveillance in response to outbreak,SAMEA8124909,cov-100001593598,ERS5811882,ERP127218,cov-100001593598,SARS-Cov2 Haut-de-France samples,
ERR5349018,AMPLICON,assembly,70,327558453,PRJEB43269,SAMEA8124910,52742793,UMR 1283/8199,"Synlab\, Haut-de-France",2021-02-13,not provided,public,"bam,sra","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.US",2021-04-22,2021-04-22,2021-02-23,2021-02-23,ERX5137394,SAMEA8124910,France,Europe,France,Haut-de-France,not provided,Homo sapiens,not provided,UMR 1283/8199,UMR 1283/8199,2021-04-22T00:26:51Z,2021-02-23T16:29:49Z,public,NextSeq 500,unspecified,SINGLE,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-04-23T00:00:00Z,active surveillance in response to outbreak,SAMEA8124910,cov-100001594009,ERS5811883,ERP127218,cov-100001594009,SARS-Cov2 Haut-de-France samples,
ERR5349019,AMPLICON,assembly,70,324932474,PRJEB43269,SAMEA8124911,51571525,UMR 1283/8199,"Synlab\, Haut-de-France",2021-02-13,not provided,public,"bam,sra","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",2021-04-22,2021-04-22,2021-02-23,2021-02-23,ERX5137395,SAMEA8124911,France,Europe,France,Haut-de-France,not provided,Homo sapiens,not provided,UMR 1283/8199,UMR 1283/8199,2021-04-22T00:26:51Z,2021-02-23T16:29:49Z,public,NextSeq 500,unspecified,SINGLE,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-04-23T00:00:00Z,active surveillance in response to outbreak,SAMEA8124911,cov-100001594043,ERS5811884,ERP127218,cov-100001594043,SARS-Cov2 Haut-de-France samples,
ERR5349020,AMPLICON,assembly,70,384868926,PRJEB43269,SAMEA8124912,61008125,UMR 1283/8199,"Synlab\, Haut-de-France",2021-02-13,not provided,public,"bam,sra","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",2021-04-22,2021-04-22,2021-02-23,2021-02-23,ERX5137396,SAMEA8124912,France,Europe,France,Haut-de-France,not provided,Homo sapiens,not provided,UMR 1283/8199,UMR 1283/8199,2021-04-22T00:26:51Z,2021-02-23T16:29:49Z,public,NextSeq 500,unspecified,SINGLE,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-04-23T00:00:00Z,active surveillance in response to outbreak,SAMEA8124912,cov-100001596012,ERS5811885,ERP127218,cov-100001596012,SARS-Cov2 Haut-de-France samples,
ERR5349021,AMPLICON,assembly,71,292156045,PRJEB43269,SAMEA8124913,46792294,UMR 1283/8199,"Synlab\, Haut-de-France",2021-02-13,not provided,public,"bam,sra","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",2021-04-22,2021-04-22,2021-02-23,2021-02-23,ERX5137397,SAMEA8124913,France,Europe,France,Haut-de-France,not provided,Homo sapiens,not provided,UMR 1283/8199,UMR 1283/8199,2021-04-22T00:26:51Z,2021-02-23T16:29:49Z,public,NextSeq 500,unspecified,SINGLE,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-04-23T00:00:00Z,active surveillance in response to outbreak,SAMEA8124913,cov-100001596076,ERS5811886,ERP127218,cov-100001596076,SARS-Cov2 Haut-de-France samples,
ERR5349022,AMPLICON,assembly,70,294717449,PRJEB43269,SAMEA8124914,46411347,UMR 1283/8199,"Synlab\, Haut-de-France",2021-02-13,not provided,public,"sra,bam","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",2021-04-22,2021-04-22,2021-02-23,2021-02-23,ERX5137398,SAMEA8124914,France,Europe,France,Haut-de-France,not provided,Homo sapiens,not provided,UMR 1283/8199,UMR 1283/8199,2021-04-22T00:26:51Z,2021-02-23T16:29:49Z,public,NextSeq 500,unspecified,SINGLE,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-04-23T00:00:00Z,active surveillance in response to outbreak,SAMEA8124914,cov-100001596912,ERS5811887,ERP127218,cov-100001596912,SARS-Cov2 Haut-de-France samples,
ERR5349023,AMPLICON,assembly,70,275735755,PRJEB43269,SAMEA8124915,53559297,UMR 1283/8199,"Synlab\, Haut-de-France",2021-02-13,not provided,public,"bam,sra","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",2021-04-22,2021-04-22,2021-02-23,2021-02-23,ERX5137399,SAMEA8124915,France,Europe,France,Haut-de-France,not provided,Homo sapiens,not provided,UMR 1283/8199,UMR 1283/8199,2021-04-22T00:26:51Z,2021-02-23T16:29:49Z,public,NextSeq 500,unspecified,SINGLE,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-04-23T00:00:00Z,active surveillance in response to outbreak,SAMEA8124915,cov-100001598040,ERS5811888,ERP127218,cov-100001598040,SARS-Cov2 Haut-de-France samples,
ERR5349024,AMPLICON,assembly,71,373360394,PRJEB43269,SAMEA8124916,59512270,UMR 1283/8199,"Synlab\, Haut-de-France",2021-02-13,not provided,public,"sra,bam","ncbi,s3,gs","s3.us-east-1,gs.US,ncbi.public",2021-04-22,2021-04-22,2021-02-23,2021-02-23,ERX5137400,SAMEA8124916,France,Europe,France,Haut-de-France,not provided,Homo sapiens,not provided,UMR 1283/8199,UMR 1283/8199,2021-04-22T00:26:51Z,2021-02-23T16:29:49Z,public,NextSeq 500,unspecified,SINGLE,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-04-23T00:00:00Z,active surveillance in response to outbreak,SAMEA8124916,cov-100001598080,ERS5811889,ERP127218,cov-100001598080,SARS-Cov2 Haut-de-France samples,
ERR5349025,AMPLICON,assembly,70,239130488,PRJEB43269,SAMEA8124917,50331845,UMR 1283/8199,"Synlab\, Haut-de-France",2021-02-13,not provided,public,"bam,sra","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",2021-04-22,2021-04-22,2021-02-23,2021-02-23,ERX5137401,SAMEA8124917,France,Europe,France,Haut-de-France,not provided,Homo sapiens,not provided,UMR 1283/8199,UMR 1283/8199,2021-04-22T00:26:51Z,2021-02-23T16:29:49Z,public,NextSeq 500,unspecified,SINGLE,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-04-23T00:00:00Z,active surveillance in response to outbreak,SAMEA8124917,cov-100001598287,ERS5811890,ERP127218,cov-100001598287,SARS-Cov2 Haut-de-France samples,
ERR5349026,AMPLICON,assembly,70,312922584,PRJEB43269,SAMEA8124918,53291044,UMR 1283/8199,"Synlab\, Haut-de-France",2021-02-13,not provided,public,"sra,bam","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",2021-04-22,2021-04-22,2021-02-23,2021-02-23,ERX5137402,SAMEA8124918,France,Europe,France,Haut-de-France,not provided,Homo sapiens,not provided,UMR 1283/8199,UMR 1283/8199,2021-04-22T00:26:51Z,2021-02-23T16:29:50Z,public,NextSeq 500,unspecified,SINGLE,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-04-23T00:00:00Z,active surveillance in response to outbreak,SAMEA8124918,cov-100001598508,ERS5811891,ERP127218,cov-100001598508,SARS-Cov2 Haut-de-France samples,
ERR5349027,AMPLICON,assembly,70,321614177,PRJEB43269,SAMEA8124919,56202886,UMR 1283/8199,"Synlab\, Haut-de-France",2021-02-13,not provided,public,"bam,sra","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",2021-04-22,2021-04-22,2021-02-23,2021-02-23,ERX5137403,SAMEA8124919,France,Europe,France,Haut-de-France,not provided,Homo sapiens,not provided,UMR 1283/8199,UMR 1283/8199,2021-04-22T00:26:51Z,2021-02-23T16:29:50Z,public,NextSeq 500,unspecified,SINGLE,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-04-23T00:00:00Z,active surveillance in response to outbreak,SAMEA8124919,cov-100001600433,ERS5811892,ERP127218,cov-100001600433,SARS-Cov2 Haut-de-France samples,
ERR5349028,AMPLICON,assembly,70,355938127,PRJEB43269,SAMEA8124920,56632335,UMR 1283/8199,"Synlab\, Haut-de-France",2021-02-13,not provided,public,"bam,sra","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",2021-04-22,2021-04-22,2021-02-23,2021-02-23,ERX5137404,SAMEA8124920,France,Europe,France,Haut-de-France,not provided,Homo sapiens,not provided,UMR 1283/8199,UMR 1283/8199,2021-04-22T00:26:51Z,2021-02-23T16:29:50Z,public,NextSeq 500,unspecified,SINGLE,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-04-23T00:00:00Z,active surveillance in response to outbreak,SAMEA8124920,cov-100001601123,ERS5811893,ERP127218,cov-100001601123,SARS-Cov2 Haut-de-France samples,
ERR5349029,AMPLICON,assembly,70,278075133,PRJEB43269,SAMEA8124921,47422483,UMR 1283/8199,"Synlab\, Haut-de-France",2021-02-13,not provided,public,"sra,bam","s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1",2021-04-22,2021-04-22,2021-02-23,2021-02-23,ERX5137405,SAMEA8124921,France,Europe,France,Haut-de-France,not provided,Homo sapiens,not provided,UMR 1283/8199,UMR 1283/8199,2021-04-22T00:26:51Z,2021-02-23T16:29:50Z,public,NextSeq 500,unspecified,SINGLE,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-04-23T00:00:00Z,active surveillance in response to outbreak,SAMEA8124921,cov-100001601167,ERS5811894,ERP127218,cov-100001601167,SARS-Cov2 Haut-de-France samples,
ERR5349030,AMPLICON,assembly,70,304019552,PRJEB43269,SAMEA8124922,49410181,UMR 1283/8199,"Synlab\, Haut-de-France",2021-02-13,not provided,public,"sra,bam","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",2021-04-22,2021-04-22,2021-02-23,2021-02-23,ERX5137406,SAMEA8124922,France,Europe,France,Haut-de-France,not provided,Homo sapiens,not provided,UMR 1283/8199,UMR 1283/8199,2021-04-22T00:26:51Z,2021-02-23T16:29:50Z,public,NextSeq 500,unspecified,SINGLE,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-04-23T00:00:00Z,active surveillance in response to outbreak,SAMEA8124922,cov-100001601212,ERS5811895,ERP127218,cov-100001601212,SARS-Cov2 Haut-de-France samples,
ERR5349031,AMPLICON,assembly,70,362671894,PRJEB43269,SAMEA8124923,58644759,UMR 1283/8199,"Synlab\, Haut-de-France",2021-02-13,not provided,public,"bam,sra","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",2021-04-22,2021-04-22,2021-02-23,2021-02-23,ERX5137407,SAMEA8124923,France,Europe,France,Haut-de-France,not provided,Homo sapiens,not provided,UMR 1283/8199,UMR 1283/8199,2021-04-22T00:26:51Z,2021-02-23T16:29:50Z,public,NextSeq 500,unspecified,SINGLE,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-04-23T00:00:00Z,active surveillance in response to outbreak,SAMEA8124923,cov-100001601226,ERS5811896,ERP127218,cov-100001601226,SARS-Cov2 Haut-de-France samples,
ERR5349032,AMPLICON,assembly,70,347987830,PRJEB43269,SAMEA8124924,53158554,UMR 1283/8199,"Synlab\, Haut-de-France",2021-02-13,not provided,public,"sra,bam","s3,gs,ncbi","s3.us-east-1,gs.US,ncbi.public",2021-04-22,2021-04-22,2021-02-23,2021-02-23,ERX5137408,SAMEA8124924,France,Europe,France,Haut-de-France,not provided,Homo sapiens,not provided,UMR 1283/8199,UMR 1283/8199,2021-04-22T00:26:51Z,2021-02-23T16:29:50Z,public,NextSeq 500,unspecified,SINGLE,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-04-23T00:00:00Z,active surveillance in response to outbreak,SAMEA8124924,cov-100001601250,ERS5811897,ERP127218,cov-100001601250,SARS-Cov2 Haut-de-France samples,
ERR5349033,AMPLICON,assembly,70,327813583,PRJEB43269,SAMEA8124925,50843312,UMR 1283/8199,"Synlab\, Haut-de-France",2021-02-13,not provided,public,"bam,sra","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",2021-04-22,2021-04-22,2021-02-23,2021-02-23,ERX5137409,SAMEA8124925,France,Europe,France,Haut-de-France,not provided,Homo sapiens,not provided,UMR 1283/8199,UMR 1283/8199,2021-04-22T00:26:51Z,2021-02-23T16:29:50Z,public,NextSeq 500,unspecified,SINGLE,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-04-23T00:00:00Z,active surveillance in response to outbreak,SAMEA8124925,cov-100001601516,ERS5811898,ERP127218,cov-100001601516,SARS-Cov2 Haut-de-France samples,
ERR5349034,AMPLICON,assembly,70,345084359,PRJEB43269,SAMEA8124926,54080980,UMR 1283/8199,"Synlab\, Haut-de-France",2021-02-13,not provided,public,"bam,sra","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",2021-04-22,2021-04-22,2021-02-23,2021-02-23,ERX5137410,SAMEA8124926,France,Europe,France,Haut-de-France,not provided,Homo sapiens,not provided,UMR 1283/8199,UMR 1283/8199,2021-04-22T00:26:51Z,2021-02-23T16:29:50Z,public,NextSeq 500,unspecified,SINGLE,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-04-23T00:00:00Z,active surveillance in response to outbreak,SAMEA8124926,cov-100001601586,ERS5811899,ERP127218,cov-100001601586,SARS-Cov2 Haut-de-France samples,
ERR5349035,AMPLICON,assembly,70,241764878,PRJEB43269,SAMEA8124927,37835323,UMR 1283/8199,"Synlab\, Haut-de-France",2021-02-13,not provided,public,"bam,sra","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",2021-04-22,2021-04-22,2021-02-23,2021-02-23,ERX5137411,SAMEA8124927,France,Europe,France,Haut-de-France,not provided,Homo sapiens,not provided,UMR 1283/8199,UMR 1283/8199,2021-04-22T00:26:51Z,2021-02-23T16:29:50Z,public,NextSeq 500,unspecified,SINGLE,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-04-23T00:00:00Z,active surveillance in response to outbreak,SAMEA8124927,cov-100001611927,ERS5811900,ERP127218,cov-100001611927,SARS-Cov2 Haut-de-France samples,
ERR5349036,AMPLICON,assembly,70,350750877,PRJEB43269,SAMEA8124928,54728695,UMR 1283/8199,"Synlab\, Haut-de-France",2021-02-13,not provided,public,"bam,sra","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",2021-04-22,2021-04-22,2021-02-23,2021-02-23,ERX5137412,SAMEA8124928,France,Europe,France,Haut-de-France,not provided,Homo sapiens,not provided,UMR 1283/8199,UMR 1283/8199,2021-04-22T00:26:51Z,2021-02-23T16:29:50Z,public,NextSeq 500,unspecified,SINGLE,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-04-23T00:00:00Z,active surveillance in response to outbreak,SAMEA8124928,cov-100001611928,ERS5811901,ERP127218,cov-100001611928,SARS-Cov2 Haut-de-France samples,
